,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Alberto Soro,es ESP,FWMF,Granada,es La Liga,21-262,1999,0.8,22.5,31.3,72,412.5,112.5,12.5,17.5,71.4,6.25,6.25,100,3.75,5,75,0,0.13,-0.13,1.25,0,0,0,132.5,2.5
Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,22-310,1998,3.8,33.7,49.2,68.4,588.9,236.1,15.8,18.4,85.7,14.2,22.6,62.8,3.16,6.58,48,0,0.16,-0.16,1.58,1.58,1.84,1.32,164.5,3.16
Florian Sotoca,fr FRA,FW,Lens,fr Ligue 1,30-032,1990,7.6,25.3,35.8,70.6,447,102.5,12,15.7,76.5,9.74,12.4,78.7,2.89,5.26,55,0.26,0.17,0.09,0.66,3.03,1.05,0.13,83.4,3.82
Riccardo Sottil,it ITA,MFFW,Cagliari,it Serie A,21-176,1999,5.3,25.8,32.5,79.7,494.5,90.9,11.3,13,87,10.2,12.1,84.4,3.96,5.66,70,0.19,0.15,0.04,2.26,2.08,1.89,0.57,280,2.26
Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,25-273,1995,9,24.7,33,74.7,490.1,120.7,8.89,11.9,74.8,10.9,14.3,76,4.44,5.67,78.4,0,0.03,-0.03,0.44,2.11,0.11,0,33.2,2.33
Rayan Souici,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-272,1998,0.1,70,80,87.5,1840,650,10,10,100,40,50,80,20,20,100,0,0,0,0,0,0,0,170,10
Cebio Soukou,bj BEN,FWMF,Arminia,de Bundesliga,28-055,1992,3.4,18.2,20.9,87.3,285,30.6,9.41,10,94.1,6.47,7.35,88,1.47,2.06,71.4,0,0.03,-0.03,0.59,0.29,0,0,99.7,1.18
Adama Soumaoro,fr FRA,DF,Lille,fr Ligue 1,28-161,1992,1.6,72.5,75.6,95.9,1727.5,465,13.8,15,91.7,43.8,44.4,98.6,14.4,15.6,92,0,0,0,0,1.25,0,0,86.9,0.63
Boubakary Soumaré,fr FRA,MF,Lille,fr Ligue 1,21-273,1999,3.2,65.3,75,87.1,1171.3,338.8,27.8,30.6,90.8,31.3,35.9,87,5.31,7.5,70.8,0,0.19,-0.19,0.94,10.9,0.63,0.31,250.9,9.69
Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,28-288,1992,6.3,31.4,43,73.1,509.7,260,15.1,17.6,85.6,12.9,17.9,71.7,2.38,4.76,50,0,0.05,-0.05,0.95,2.38,1.43,0.95,115.1,3.02
Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,23-294,1997,1.4,29.3,32.1,91.1,467.9,129.3,15.7,18.6,84.6,12.1,12.1,100,1.43,1.43,100,0,0.14,-0.14,0.71,1.43,0.71,0,47.1,5
Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,18-145,2002,3.3,40.6,45.8,88.7,843.6,299.7,8.79,9.39,93.5,25.2,26.4,95.4,5.76,8.48,67.9,0,0,0,0,1.21,0,0,80,1.82
Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,24-187,1996,4,58.5,65.8,89,1163.8,409.3,20.3,22.3,91,29.5,31.5,93.7,8,11.3,71.1,0,0.03,-0.03,0.25,4.25,0,0,200.3,3.5
Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,27-246,1993,7,36.1,47.6,76,675.1,217.9,16.1,19.1,84.3,14.6,18.3,79.7,4.71,7.86,60,0.14,0.16,-0.01,1.29,2.14,2.14,0.86,225.1,4.29
Marco Sportiello,it ITA,GK,Atalanta,it Serie A,28-200,1992,7,21,25.9,81.2,594.1,314,3.14,3.14,100,10.6,10.7,98.7,7,11.7,59.8,0,0,0,0,0,0,0,21.3,0
Mattia Sprocati,it ITA,FW,Parma,it Serie A,27-212,1993,0.2,25,25,100,425,35,10,10,100,15,15,100,0,0,,0,0,0,0,0,0,0,0,0
Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,24-038,1996,8,37.3,43.1,86.4,777.4,274.8,11.4,12.8,89.2,19,20.8,91.6,6.63,9,73.6,0,0,0,0.13,2.25,0.38,0,136.4,3.63
Benjamin Stambouli,fr FRA,DF,Schalke 04,de Bundesliga,30-105,1990,3,35.3,49.7,71.1,741.3,283.7,12,14.3,83.7,17.7,21,84.1,5.33,12,44.4,0,0,0,0,0.67,0,0,55.3,0.33
Niklas Stark,de GER,MFDF,Hertha BSC,de Bundesliga,25-226,1995,7.9,32.9,39.2,83.9,746.6,202.8,8.73,10.4,84.1,16.3,18.5,88.4,7.59,9.87,76.9,0,0.01,-0.01,0.13,2.66,0.51,0,87.6,3.29
Renato Steffen,ch SUI,FWDF,Wolfsburg,de Bundesliga,29-023,1991,5.1,31.2,41.6,75,554.3,144.1,15.7,18.6,84.2,11.8,14.7,80,3.14,4.9,64,0.2,0.06,0.14,0.59,3.33,0.78,0.2,117.3,3.33
Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,24-251,1996,5.8,60.5,71.6,84.6,1366.7,511.6,14.7,15.9,92.4,32.8,36.4,90,12.4,17.8,69.9,0,0.03,-0.03,0.17,2.41,0.34,0.17,104.1,3.62
Dale Stephens,eng ENG,MF,Burnley,eng Premier League,31-167,1989,2.2,37.3,45,82.8,706.8,179.1,15,16.8,89.2,15,17.3,86.8,6.36,8.64,73.7,0,0,0,0,2.27,1.36,0,57.3,3.64
Jack Stephens,eng ENG,DF,Southampton,eng Premier League,26-304,1994,3.5,54.3,69.7,77.9,1124,389.7,16.3,18.9,86.4,30,35.1,85.4,7.14,13.4,53.2,0,0.03,-0.03,0.57,3.14,0.86,0,167.7,4
Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,25-354,1994,7.1,30.1,35.8,84.3,389.9,81,19.6,22,89.1,8.87,10.3,86.3,0.56,1.27,44.4,0.14,0.14,0,1.13,2.25,0.56,0.14,167.9,2.11
Enda Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,30-140,1990,8,36.6,45.8,80.1,642.4,276,17.9,20,89.4,14.8,17.8,83.1,3.38,6.75,50,0,0,0,0.13,3.75,0.75,0,85.9,3.88
Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32-092,1988,5.8,38.6,45.9,84.2,692.1,146.4,17.9,20.7,86.7,14.8,17.8,83.5,4.83,5.69,84.8,0,0.29,-0.29,1.9,4.14,0.34,0.17,75,3.97
Kevin Stöger,at AUT,MF,Mainz 05,de Bundesliga,27-091,1993,0.1,70,100,70,1160,560,40,40,100,20,30,66.7,10,30,33.3,0,0,0,0,0,0,0,0,0
John Stones,eng ENG,DF,Manchester City,eng Premier League,26-182,1994,1,67,75,89.3,1464,363,18,19,94.7,38,40,95,11,15,73.3,0,0,0,0,2,0,0,89,2
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,25-252,1995,4,35.5,45,78.9,865.5,578,11.3,11.3,100,12,12,100,11,20.5,53.7,0,0,0,0,0.25,0,0,110.3,0.25
Tobias Strobl,de GER,MF,Augsburg,de Bundesliga,30-198,1990,3.9,39.5,44.9,88,728.5,149.2,18.2,19.2,94.7,15.1,17.2,88.1,5.38,7.44,72.4,0,0.08,-0.08,1.03,1.28,0.26,0,75.9,2.31
Kevin Strootman,nl NED,MF,Marseille,fr Ligue 1,30-287,1990,1.4,43.6,52.9,82.4,817.9,244.3,20,22.1,90.3,15,16.4,91.3,7.14,12.1,58.8,0,0,0,0.71,6.43,0,0,108.6,3.57
Pascal Struijk,nl NED,DFMF,Leeds United,eng Premier League,21-107,1999,2.8,50.7,56.1,90.4,1174.6,286.8,12.5,13.6,92.1,27.5,28.9,95.1,10.7,12.9,83.3,0,0.04,-0.04,0.36,3.21,0.36,0,72.9,2.5
Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,29-279,1991,2.9,33.1,42.4,78,512.4,265.9,20.3,21.4,95.2,9.66,13.1,73.7,2.41,6.55,36.8,0,0,0,0.34,2.41,0.34,0,80,4.14
Stefano Sturaro,it ITA,MF,Genoa,it Serie A,27-262,1993,0.8,30,46.3,64.9,620,146.3,6.25,10,62.5,20,23.8,84.2,3.75,11.3,33.3,0,0,0,0,3.75,0,0,96.3,3.75
Damián Suárez,uy URU,DF,Getafe,es La Liga,32-213,1988,7.8,32.7,51.7,63.3,656.8,389.2,12.2,15,81.2,15.3,21.9,69.6,4.87,12.8,38,0,0.01,-0.01,0.38,3.33,0.51,0.38,82.8,5.26
Denis Suárez,es ESP,MF,Celta Vigo,es La Liga,26-325,1994,7.7,35.6,47.5,74.9,609.5,171,17,19.6,86.8,14.5,19.2,75.7,3.25,6.36,51,0.26,0.23,0.03,1.56,4.03,0.65,0.13,154.8,3.64
Luis Suárez,uy URU,FW,Atlético Madrid,es La Liga,33-307,1987,4.2,18.6,24.8,75,266.4,43.8,11.7,13.3,87.5,5.48,7.86,69.7,0.71,1.43,50,0.24,0.12,0.12,0.95,0.71,1.19,0,60.7,1.9
Marek Suchý,cz CZE,MF,Augsburg,de Bundesliga,32-242,1988,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,
Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,25-084,1995,3,88,94,93.6,2107.3,703,16.3,17,96.1,51,53.3,95.6,20.3,23.3,87.1,0,0.03,-0.03,0.33,10.7,0,0,260,9
Suso,es ESP,FWMF,Sevilla,es La Liga,27-007,1993,2.5,43.2,53.2,81.2,776.8,166.8,20,20.8,96.2,18.4,21.6,85.2,4,8.4,47.6,0,0.24,-0.24,1.2,4.4,2,0.8,165.6,3.6
Bosko Sutalo,hr CRO,DF,Atalanta,it Serie A,20-330,2000,1.9,57.9,67.4,85.9,962.1,369.5,28.9,34.2,84.6,24.7,27.4,90.4,4.21,4.74,88.9,0,0.11,-0.11,1.05,3.16,0,0,203.7,3.68
Mattias Svanberg,se SWE,MF,Bologna,it Serie A,21-326,1999,4.5,24.9,30,83,450.4,104.9,10.9,12.4,87.5,10.7,12.2,87.3,2.89,3.33,86.7,0.22,0.2,0.02,1.11,2.44,0.67,0,89.8,3.56
Issiaga Sylla,gn GUI,DF,Lens,fr Ligue 1,26-330,1994,5.4,44.3,55,80.5,828.1,363.3,20.2,22.8,88.6,19.1,23.1,82.4,5,7.59,65.9,0,0.07,-0.07,0.74,2.59,1.48,0.93,133.3,5.93
Eddy Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,21-089,1999,1.1,29.1,34.5,84.2,441.8,52.7,18.2,20,90.9,10,11.8,84.6,0.91,2.73,33.3,0,0,0,0,0.91,0,0,52.7,1.82
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,30-222,1990,4,36.5,39.8,91.8,897,445,9.75,9.75,100,16.8,17,98.5,9.75,12.8,76.5,0,0,0,0,0.5,0,0,86.3,0
Frederik Sørensen,dk DEN,DF,Köln,de Bundesliga,28-226,1992,1.1,34.5,45.5,76,814.5,389.1,3.64,6.36,57.1,23.6,25.5,92.9,6.36,11.8,53.8,0,0.09,-0.09,0.91,4.55,0.91,0,48.2,3.64
Alexander Sørloth,no NOR,FW,RB Leipzig,de Bundesliga,24-357,1995,3.7,19.2,27,71,270,45.7,11.1,13.8,80.4,6.22,9.73,63.9,0.54,1.35,40,0.27,0.14,0.14,1.89,1.89,0.27,0,67.3,1.08
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,24-289,1996,1.7,81.8,89.4,91.4,1952.9,476.5,18.8,20.6,91.4,41.8,44.1,94.7,20.6,24.1,85.4,0,0,0,0,5.29,0,0,208.8,5.29
Flavien Tait,fr FRA,MFFW,Rennes,fr Ligue 1,27-298,1993,4.9,44.7,53.5,83.6,876.3,189.2,19,21.8,86.9,16.9,18.6,91.2,8.37,10.6,78.8,0.2,0.22,-0.02,1.84,4.69,0.41,0,179.4,3.88
Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,26-296,1994,6.5,36,44.2,81.5,674.8,159.5,14,17.1,82,17.2,19.7,87.5,4.15,5.69,73,0,0.2,-0.2,1.08,3.08,1.69,0.31,114.3,4.62
Renato Tapia,pe PER,MF,Celta Vigo,es La Liga,25-121,1995,9.1,33.2,40.4,82.1,641.8,153.4,14.4,16.9,85.1,13,14.6,88.7,5.05,7.36,68.7,0,0.03,-0.03,0.33,2.97,0.22,0.11,79.5,3.3
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,21-298,1999,7,92.1,101.6,90.7,2178.4,547.7,16.3,17.9,91.2,54.7,57.7,94.8,20.4,24.6,83.1,0,0.01,-0.01,0.14,5.14,0.43,0,314.6,4.43
Matt Targett,eng ENG,DF,Aston Villa,eng Premier League,25-069,1995,8,39.9,52.1,76.5,753,367.9,17.5,21.1,82.8,16.6,20.8,80.1,5,8.63,58,0,0.04,-0.04,0.88,4.25,2,0.25,52.6,6.38
James Tarkowski,eng ENG,DF,Burnley,eng Premier League,28-007,1992,6,26.8,35.5,75.6,652.3,168,7,9.17,76.4,12.5,15.5,80.6,7.17,10,71.7,0,0.02,-0.02,0.33,0.83,0,0,42.3,1.17
Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,34-291,1986,1,24,27,88.9,483,297,9,9,100,13,13,100,2,5,40,0,0,0,0,0,0,0,29,0
Niklas Tauer,de GER,MF,Mainz 05,de Bundesliga,19-283,2001,0.1,10,20,50,220,120,0,0,,10,20,50,0,0,,0,0,0,0,0,0,0,0,10
Heriberto Tavares,pt POR,MFFW,Brest,fr Ligue 1,23-281,1997,0.5,16,20,80,340,46,4,8,50,10,10,100,2,2,100,0,0,0,0,0,0,0,34,0
Tomás Tavares,pt POR,MF,Alavés,es La Liga,19-264,2001,0.4,5,7.5,66.7,135,95,2.5,5,50,0,0,,2.5,2.5,100,0,0,0,0,0,0,0,0,0
Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,27-069,1993,8,38.3,55.3,69.2,738.1,307.8,17.5,20.4,85.9,15,20.8,72.3,5.63,12.4,45.5,0,0.05,-0.05,0.63,2.88,1,0.75,106.8,2.5
Warren Tchimbembé,fr FRA,FWMF,Metz,fr Ligue 1,22-219,1998,2.3,38.3,43,88.9,631.3,143.9,17.4,19.1,90.9,17,18.7,90.7,1.74,3.04,57.1,0,0.04,-0.04,0.43,3.48,0.87,0.43,127,2.17
Aurélien Tchouaméni,fr FRA,MF,Monaco,fr Ligue 1,20-304,2000,8.9,44.3,52.2,84.7,832.4,184,18.5,20.8,89.2,19,21,90.4,5.62,8.31,67.6,0.11,0.09,0.02,0.67,4.83,0.22,0,89.4,3.03
ílvaro Tejero,es ESP,DF,Eibar,es La Liga,24-129,1996,1.2,62.5,82.5,75.8,1215,485.8,25,28.3,88.2,26.7,33.3,80,10,19.2,52.2,0,0.17,-0.17,3.33,2.5,4.17,2.5,#N/A,6.67
Nathan Tella,eng ENG,MF,Southampton,eng Premier League,21-144,1999,0.6,20,23.3,85.7,235,28.3,11.7,13.3,87.5,6.67,8.33,80,0,0,,0,0,0,0,1.67,0,0,226.7,0
Alex Telles,br BRA,DF,Manchester Utd,eng Premier League,27-347,1992,1,70,91,76.9,1082,548,43,45,95.6,23,31,74.2,3,12,25,0,0,0,0,5,3,0,176,8
Andrés Tello,co COL,MF,Benevento,it Serie A,24-081,1996,0.4,40,57.5,69.6,675,77.5,12.5,22.5,55.6,27.5,30,91.7,0,2.5,0,0,0,0,0,2.5,0,0,105,0
Cristian Tello,es ESP,FWMF,Betis,es La Liga,29-107,1991,5.9,31.2,38.8,80.3,495.3,137.8,16.6,18.8,88.3,11.2,14.1,79.5,2.54,3.9,65.2,0.17,0.2,-0.03,1.53,1.19,1.69,0.51,136.6,3.22
Lino Tempelmann,de GER,MF,Freiburg,de Bundesliga,21-298,1999,1.8,42.2,52.8,80,883.3,120,15.6,19.4,80,18.3,20.6,89.2,8.33,9.44,88.2,0,0,0,0,4.44,0,0,66.1,1.11
Hidde ter Avest,nl NED,DF,Udinese,it Serie A,23-190,1997,3.7,37.8,51.1,74.1,683.2,336.5,18.1,22.7,79.8,15.4,18.9,81.4,3.78,7.57,50,0,0,0,0,3.51,0.27,0,76.8,3.78
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,28-210,1992,2,28.5,30,95,750.5,457.5,4.5,4.5,100,15,15,100,8.5,10,85,0,0,0,0,0.5,0,0,36,0.5
Martin Terrier,fr FRA,MFFW,Rennes,fr Ligue 1,23-267,1997,6.5,25.8,33.4,77.4,441.5,90,15.4,18.6,82.6,6.92,9.08,76.3,3.38,4.15,81.5,0.15,0.14,0.02,1.54,2.31,1.54,0.62,131.7,2.46
Claudio Terzi,it ITA,DF,Spezia,it Serie A,36-160,1984,5.5,56.4,65.1,86.6,1392.7,513.3,13.5,14.9,90.2,25.5,26.7,95.2,17.3,22.9,75.4,0.18,0,0.18,0,3.64,0.18,0,173.3,4.91
Kenny Tete,nl NED,DF,Lyon,fr Ligue 1,25-048,1995,0.2,100,115,87,1605,465,55,55,100,45,50,90,0,5,0,0,0,0,0,10,0,0,91.4,10
Kenny Tete,nl NED,DF,Fulham,eng Premier League,25-048,1995,1.4,40.7,50.7,80.3,727.9,369.3,18.6,21.4,86.7,17.1,20.7,82.8,5,6.43,77.8,0.71,0.36,0.36,2.86,0,5,4.29,230,3.57
Cedric Teuchert,de GER,MFFW,Union Berlin,de Bundesliga,23-317,1997,0.8,18.8,26.3,71.4,318.8,77.5,8.75,12.5,70,6.25,8.75,71.4,2.5,3.75,66.7,0,0.63,-0.63,1.25,3.75,0,0,148.8,2.5
Florian Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,27-305,1993,7.8,29.1,44,66.2,482.6,176,16.5,20.4,81.1,6.92,9.87,70.1,3.97,9.62,41.3,0.64,0.4,0.24,2.95,2.31,1.15,0.13,131.4,3.72
Malick Thiaw,fi FIN,DF,Schalke 04,de Bundesliga,19-110,2001,3,36.3,46.7,77.9,778,260.7,10.3,12.7,81.6,19,20.7,91.9,6.67,12,55.6,0,0,0,0,1,0,0,77,1
Jan Thielmann,de GER,FWMF,Köln,de Bundesliga,18-184,2002,2.3,20,30.9,64.8,342.2,144.8,11.3,13,86.7,5.65,9.13,61.9,2.17,6.52,33.3,0.87,0.09,0.78,0.87,1.74,0.43,0.43,80.4,1.74
Sada Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25-178,1995,6.6,37.1,44.4,83.6,582.7,184.5,21.2,23.9,88.6,12.3,13.8,89,3.03,4.24,71.4,0.15,0.26,-0.11,1.67,1.67,2.12,0.15,241.2,5
Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,,,1.5,14,27.3,51.2,180,43.3,10,16,62.5,3.33,6,55.6,0,3.33,0,0,0,0,0,1.33,0,0,60,1.33
Romain Thomas,fr FRA,DF,Angers,fr Ligue 1,32-167,1988,7.7,43.1,48.6,88.8,998.8,338.6,11.6,12.3,93.7,21.7,23.1,93.8,9.48,12.1,78.5,0,0,0,0,1.82,0,0,53,2.21
Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,26-352,1993,6,31.3,42.5,73.7,547,110.5,15.2,19,79.8,11.8,14.8,79.8,3.5,5.33,65.6,0,0.1,-0.1,0.67,2.5,1,0.17,71,2.5
Morten Thorsby,no NOR,MF,Sampdoria,it Serie A,24-205,1996,7.1,25.9,34.2,75.7,394.1,141.1,14.4,17,84.3,9.01,12,75.3,1.41,2.68,52.6,0,0.03,-0.03,0.56,2.11,0.14,0,48,2.82
Marcus Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-112,1997,4.5,20.9,30,69.6,293.3,74.9,14.4,19.6,73.9,5.11,6.89,74.2,0.89,1.56,57.1,0.22,0.02,0.2,0.22,1.11,0.67,0,153.1,2.22
Khéphren Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,19-245,2001,5.2,49.8,57.5,86.6,878.3,178.7,22.7,25.2,90.1,20,22.9,87.4,5.58,7.31,76.3,0,0,0,0.19,4.04,0.77,0,137.1,4.62
Cheikh Tidiane Sabaly,sn SEN,MF,Metz,fr Ligue 1,21-267,1999,0.1,30,50,60,570,30,0,0,,30,30,100,0,10,0,0,0,0,0,0,0,0,340,0
Youri Tielemans,be BEL,MF,Leicester City,eng Premier League,23-203,1997,9,54.1,67.9,79.7,1040.6,263,22.3,24.8,90.1,23.1,26.9,86,7.67,13.9,55.2,0,0.01,-0.01,0.22,4.44,1.44,0.11,107.7,5
Kieran Tierney,sco SCO,DF,Arsenal,eng Premier League,23-174,1997,7.9,52,65.9,78.9,977.3,280.3,18.2,20.5,88.9,27.3,30.1,90.8,6.08,13.4,45.3,0,0.08,-0.08,0.76,2.41,0.76,0.38,177.3,4.43
Guus Til,nl NED,MF,Freiburg,de Bundesliga,22-340,1997,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
David Timor,es ESP,MF,Getafe,es La Liga,31-040,1989,2.9,34.8,54.8,63.5,733.4,258.3,15.9,20.7,76.7,11,18.6,59.3,7.59,14.1,53.7,0,0.1,-0.1,0.69,5.86,0.69,0,63.4,6.21
Karl Toko Ekambi,cm CMR,FWMF,Lyon,fr Ligue 1,28-073,1992,7.6,20.1,25.9,77.7,323.9,67.5,10.3,11.6,88.6,8.16,10.1,80.5,1.32,2.5,52.6,0,0.25,-0.25,1.32,0.79,0.92,0.13,143.8,1.71
Corentin Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-115,1994,3,59.7,68.3,87.3,1302.3,339.7,21.7,25,86.7,22,23,95.7,14.7,17.7,83,0,0.07,-0.07,1,8.67,0.67,0.33,134.7,6.33
Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,26-110,1994,3.5,47.4,54.6,86.9,838.6,224,20.6,22.6,91.1,20,23.4,85.4,5.71,6.29,90.9,0,0.09,-0.09,0.57,2.86,0.86,0,120.3,2.57
Rafael Tolói,br BRA,DF,Atalanta,it Serie A,30-047,1990,6.3,44.6,53.3,83.6,845.2,323,19.7,21,93.9,17.9,20.6,86.9,6.35,9.84,64.5,0,0.03,-0.03,0.48,4.29,0.95,0,103.7,4.13
Takehiro Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-021,1998,8,48.6,55.1,88.2,1081.4,364.3,13.1,14.8,89,26.4,27.8,95,8.88,11.9,74.7,0,0.03,-0.03,0.25,4.38,0.5,0.13,171.9,5.38
Fikayo Tomori,eng ENG,DF,Chelsea,eng Premier League,22-343,1997,0.5,54,58,93.1,1148,322,12,12,100,34,36,94.4,8,10,80,0,0,0,0,0,0,0,76,0
Sandro Tonali,it ITA,MF,Milan,it Serie A,20-202,2000,1.9,67.4,83.2,81,1257.4,337.4,30.5,34.7,87.9,25.3,28.9,87.3,10.5,15.8,66.7,0,0.11,-0.11,0.53,9.47,0.53,0,181.6,6.32
Lorenzo Tonelli,it ITA,DF,Sampdoria,it Serie A,30-314,1990,6.5,37.7,45.5,82.8,899.4,256.3,8.15,9.38,86.9,19.2,20.5,94,9.23,14.5,63.8,0,0,0,0,1.23,0,0,78.2,1.69
Toño,es ESP,DF,Levante,es La Liga,31-019,1989,1.9,43.2,53.7,80.4,769.5,310.5,22.1,23.2,95.5,16.8,18.9,88.9,4.21,9.47,44.4,0,0,0,0,1.58,0.53,0,96.3,4.21
Ömer Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-128,1989,2.2,54.5,61.4,88.9,1178.2,275.9,15.5,16.8,91.9,29.1,30.5,95.5,10,14.1,71,0,0,0,0,1.82,0,0,146.4,1.82
Tyron Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-150,2001,0.2,35,40,87.5,560,120,25,25,100,10,10,100,0,0,,0,0,0,0,5,0,0,25,5
Lucas Torreira,uy URU,MF,Atlético Madrid,es La Liga,24-289,1996,1.9,62.6,67.4,93,1033.2,264.2,29.5,31.6,93.3,26.3,27.9,94.3,4.74,5.79,81.8,0,0.05,-0.05,0.53,1.05,0,0,96.8,2.63
Ferrán Torres,es ESP,FW,Manchester City,eng Premier League,20-271,2000,3.7,23.2,28.9,80.4,378.4,85.7,12.4,14.1,88.5,9.19,11.6,79.1,1.35,2.16,62.5,0.27,0.05,0.22,0.81,1.89,1.35,0.27,137.3,2.7
Óliver Torres,es ESP,MFFW,Sevilla,es La Liga,26-016,1994,4,59,70.3,84,1295.8,357,23.5,26.5,88.7,19.8,23.3,84.9,13.8,18,76.4,0,0.05,-0.05,1.5,9,1.75,0.5,134.8,7.25
Pau Torres,es ESP,DF,Villarreal,es La Liga,23-315,1997,10,60.4,68.1,88.7,1419.1,468.3,15.3,16.2,94.4,30,32.1,93.5,14.9,19.2,77.6,0,0,0,0,5.2,0,0,274.7,4.6
Roberto Torres,es ESP,MF,Osasuna,es La Liga,31-264,1989,3.6,19.2,31.9,60,361.4,95,11.7,15,77.8,3.33,6.94,48,3.61,7.5,48.1,0,0.11,-0.11,0.83,1.67,0.56,0.28,41.4,1.39
Lucas Torró,es ESP,MF,Osasuna,es La Liga,26-130,1994,2.2,25.5,34.1,74.7,416.8,118.2,14.1,17.7,79.5,6.82,9.09,75,3.18,4.55,70,0.45,0.23,0.23,1.82,1.36,0.45,0,29.5,2.73
Jordan Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-111,1997,2,56,61,91.8,1384,406.5,6,7.5,80,38,38.5,98.7,12,14.5,82.8,0,0.2,-0.2,1,4,0,0,196,6
Cenk Tosun,tr TUR,FW,Everton,eng Premier League,29-172,1991,0.4,12.5,17.5,71.4,320,30,2.5,2.5,100,7.5,7.5,100,2.5,5,50,0,0.25,-0.25,2.5,0,0,0,27.5,0
Abdoulaye Touré,fr FRA,MF,Nantes,fr Ligue 1,26-268,1994,4.6,47.4,56.3,84.2,871.1,202.6,18.3,22.4,81.6,23,25.4,90.6,5.43,7.17,75.8,0.22,0.15,0.07,0.87,4.35,0.43,0,88.3,3.91
Almamy Touré,ml MLI,DF,Eint Frankfurt,de Bundesliga,24-212,1996,4.7,27,42.8,63.2,487.9,261.7,13.4,18.1,74.1,9.36,13.4,69.8,3.83,7.66,50,0,0.17,-0.17,1.49,2.13,2.55,1.7,104.9,4.68
Lucas Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,23-211,1997,5.6,25,31.3,80,568,134.1,9.29,11.3,82.5,9.11,10.7,85,5.89,7.86,75,0,0.02,-0.02,0.36,3.39,0.36,0.18,83,1.79
Andros Townsend,eng ENG,MF,Crystal Palace,eng Premier League,29-133,1991,8.6,21.9,34.7,63.1,393.4,153.1,10.5,12.2,85.7,7.33,10.3,70.8,3.26,9.07,35.9,0.23,0.15,0.08,1.63,1.4,1.63,0.35,146.5,3.14
Conor Townsend,eng ENG,DF,West Brom,eng Premier League,27-267,1993,7,45.7,59,77.5,820.9,341.4,21.1,23.7,89.2,20.7,24.7,83.8,3.71,9.14,40.6,0,0.03,-0.03,0.57,3.43,1,0.43,108.4,6.71
Mattéo Tramoni,fr FRA,MF,Cagliari,it Serie A,20-311,2000,0.3,6.67,13.3,50,150,96.7,3.33,6.67,50,0,0,,3.33,6.67,50,0,0,0,0,0,0,0,10,0
Adama Traoré,es ESP,FWDF,Wolves,eng Premier League,24-306,1996,4.8,20.6,33.8,61.1,327.3,99.8,12.7,14.2,89.7,6.25,13.3,46.9,1.46,3.75,38.9,0,0.13,-0.13,1.25,1.46,0.21,0.21,297.9,1.25
